62,"Spear, Will",A18 / 16 ,NYAC ,Huds-Berks ,USA ,3 ,0.50 ,24 ,24 ,0 ,Advanced
63,"Campbell, Colin",A15 / 79 ,NOTREDAME ,Capitol ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
64,"Karam, Tariq",A18 ,MANHATTANFC / SAS ,Metro NYC ,USA ,3 ,0.50 ,20 ,20 ,0 ,Advanced
65,"Kuldell, Spencer",B17 ,BOSTONFC ,New England ,USA ,3 ,0.50 ,24 ,25 ,-1 ,Advanced
66T,"Mulvaney, Alec",A18 / 70 ,REDSTARCHICG ,Illinois ,USA ,3 ,0.50 ,22 ,23 ,-1 ,Advanced
66T,"Kim, Stephen",A18 / 95 ,MANHATTANFC ,Metro NYC ,USA ,3 ,0.50 ,22 ,23 ,-1 ,Advanced
68,"Booth, Zaheer",B18 / 50 ,PWESTBROOK / FENCERSCLUB ,Metro NYC ,USA ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
69,"Lortkipanidze, Guram",B16 ,TIMMOREHOUSE ,West-Rock ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
70T,"Te Velde, Noah",C18 / 113 ,PWESTBROOK ,New England ,USA ,3 ,0.50 ,22 ,24 ,-2 ,Advanced
70T,"Wisniowski, Michal",B16 / 109 ,AFFA ,New Jersey ,USA ,3 ,0.50 ,22 ,24 ,-2 ,Advanced
72,"Kupanoff, Dimitri",B17 / 115 ,LAGUNAFC ,Orange Coast ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
73,"Attig, Will",A17 / 60 ,OREGONFA ,Oregon ,USA ,3 ,0.50 ,19 ,21 ,-2 ,Advanced
74T,"Goode, Matthew",B16 ,USAFA ,Colorado ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
74T,"Walker, Alex",A17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
76,"Vaccari, Braden",B18 ,TIMMOREHOUSE ,Metro NYC ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
77,"Shin, Richard J.H.",A16 / 83 ,AGFC (CA) ,Southern CA ,USA ,3 ,0.50 ,18 ,22 ,-4 ,Advanced
78,"Kolasa, Matthew",C16 ,,S. Jersey ,USA ,3 ,0.50 ,20 ,25 ,-5 ,Advanced
79,"Del Vecchio, Nicolas",A18 / 57 ,CAPITALFA ,Capitol ,USA ,3 ,0.50 ,19 ,24 ,-5 ,Advanced
80,"Cho, Justin",A17 / 71 ,LONESTARFC ,North TX ,USA ,2 ,0.33 ,23 ,23 ,0 ,Advanced
81,"Szeto, Brian",B18 ,ZETAFENCING ,New England ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
82T,"Kim, Brian",A18 / 107 ,BERGENFC ,New Jersey ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
82T,"Park, Donghwan",B18 / 49 ,PREMIERFA ,Mt. Valley ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
84,"Julien, William A",A17 / 58 ,ALLEFENCING ,Gold Coast ,USA ,2 ,0.33 ,19 ,22 ,-3 ,Advanced
85,"Lin, Lucas",B16 / 111 ,,North TX ,USA ,2 ,0.33 ,18 ,21 ,-3 ,Advanced
86,"Han, Nicholas",B18 ,BERGENFC / TIGERZFA ,New Jersey ,USA ,2 ,0.33 ,17 ,21 ,-4 ,Advanced
87,"Elarab, Mazen",B18 ,,,EGY ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
88T,"Dinu, Nicholas",B17 ,LAGUNAFC ,Orange Coast ,CAN ,2 ,0.33 ,20 ,26 ,-6 ,Advanced
88T,"Western, Rafael",A16 / 36 ,TIMMOREHOUSE / PWESTBROOK ,Metro NYC ,PUR ,2 ,0.33 ,20 ,26 ,-6 ,Advanced
90,"Ma, Jonathan",B18 ,LONESTARFC ,North TX ,USA ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
