70,"LIN, Xiteng (Steven)",A17 / 31 ,OREGONFA ,Oregon ,CHN ,3 ,0.60 ,22 ,18 ,+4 ,Advanced
71,"WESTERN, Rafael",A16 / 40 ,TIM MOREHOUSE FENCING / PETERWE ,Metro NYC ,PUR ,3 ,0.60 ,23 ,20 ,+3 ,Advanced
72,"LIN, Lucas",B16 / 110 ,,North TX ,USA ,3 ,0.60 ,19 ,16 ,+3 ,Advanced
73,"BERKAY, Deniz",B17 / 109 ,MANHATTAN ,Long Island ,USA ,3 ,0.60 ,20 ,20 ,0 ,Advanced
74,"OSTER, Keegan",A17 ,HANGTOWN ,Mt. Valley ,USA ,3 ,0.60 ,16 ,22 ,-6 ,Advanced
75,"CHEN, Andrew",A17 / 108 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,26 ,22 ,+4 ,Advanced
76,"MOORE VOUNTAS, Steven",C17 ,,,CAN ,3 ,0.50 ,23 ,19 ,+4 ,Advanced
77,"DINU, Nicholas",B17 ,LAGUNA F.C. ,Orange Coast ,CAN ,3 ,0.50 ,25 ,23 ,+2 ,Advanced
78T,"MCPHEDRAN, Spencer",B17 ,,,CAN ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
78T,"JOHNSON, Zachary",A15 / 65 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
80,"PARK, Donghwan",B17 / 44 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,21 ,19 ,+2 ,Advanced
81,"DESCHERER, David",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
82,"VIDOVSZKY, Robert",A17 / 47 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
83T,"ANGLADE, Ronald",C17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
83T,"BIVINS, George",B17 / 82 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
83T,"COHEN, Samuel",B17 ,DCFC ,Capitol ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
86T,"PRIEST, Leighton",C17 ,RENFENC ,Michigan ,USA ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
86T,"FOTIYEV, Alan",A17 ,STAMFORD F.C. / BERGEN F.C. ,Connecticut ,USA ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
88,"HARLEY, Sage",C17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,19 ,20 ,-1 ,Advanced
89,"FLORENCIA, Hector",A14 ,OSU VARSITY FENCING TEAM ,North TX ,MEX ,3 ,0.50 ,22 ,24 ,-2 ,Advanced
90T,"RICE, Vaughn",C17 ,MEDEO F.C. ,New Jersey ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
90T,"RAINVILLE-POND, Schuyler",B17 ,,N. Carolina ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
92,"FLORES, Gerardo",A17 / 48 ,HLBRSDT ,Northern CA ,USA ,3 ,0.50 ,18 ,20 ,-2 ,Advanced
93,"KIM, Brian",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,17 ,19 ,-2 ,Advanced
94,"KENNEDY, Falan",B17 ,,,CAN ,3 ,0.50 ,23 ,26 ,-3 ,Advanced
95,"LIU, Jesse",B17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
96,"BERGMAN, Thomas",C15 ,NYU / DURKAN ,West-Rock ,USA ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
97,"WITEK, Bernard",C17 ,CHAPELHILL / DURKAN ,Metro NYC ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
98,"DEL VECCHIO, Nicolas",A17 ,CAPITAL ,Capitol ,USA ,3 ,0.50 ,19 ,23 ,-4 ,Advanced
