129,"DOUGALL, Tyson",B17 ,PDX ,Oregon ,USA ,2 ,0.33 ,15 ,22 ,-7 ,Advanced
130,"DINU, Nicholas",B17 ,LAGUNA F.C. ,Orange Coast ,CAN ,2 ,0.33 ,20 ,28 ,-8 ,Advanced
131T,"KIM, Shawn",A17 ,LAGUNA F.C. ,Orange Coast ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
131T,"BUENAVENTURA, Christian",C16 ,ZETA FENCING ,New England ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
131T,"RAINVILLE-POND, Schuyler",B16 ,,N. Carolina ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
134,"DESCHERER, David",B17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,17 ,26 ,-9 ,Advanced
135T,"KIM, Brian",B16 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
135T,"JEFFRY, Robin",B16 ,HLBRSDT ,Northern CA ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
135T,"WU, Nicholas",C17 ,MANHATTAN ,Metro NYC ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
138,"OSTER, Keegan",A17 ,,Mt. Valley ,USA ,2 ,0.33 ,17 ,27 ,-10 ,Advanced
139,"ATTIG, Will",B17 ,OREGONFA ,Oregon ,USA ,2 ,0.33 ,16 ,27 ,-11 ,Advanced
140,"LEE, Kevin",B16 ,U.C.S.D. ,North TX ,USA ,2 ,0.33 ,15 ,26 ,-11 ,Advanced
141,"IWAMOTO, Eric",C17 ,LAGUNA F.C. ,Orange Coast ,USA ,2 ,0.33 ,15 ,27 ,-12 ,Advanced
142,"SEVOSTYANOV, Stepan",B17 ,MANHATTAN ,Metro NYC ,KAZ ,2 ,0.33 ,15 ,28 ,-13 ,Advanced
143,"TONG, Qilin",C17 ,NELLYA ,Georgia ,USA ,1 ,0.20 ,17 ,24 ,-7 ,Advanced
144,"TATE, Samuel",C15 ,,N. Carolina ,USA ,1 ,0.20 ,16 ,24 ,-8 ,Advanced
145,"HAN, Nicholas",C17 ,BERGEN F.C. / TIGERZ ,New Jersey ,USA ,1 ,0.17 ,24 ,26 ,-2 ,Advanced
146,"CHOU, Stephen",C17 ,BERGEN F.C. ,New Jersey ,USA ,1 ,0.17 ,21 ,28 ,-7 ,Advanced
