73T,"THEIN-SANDLER, Adrien",A17 / 48 ,LAIFC ,Southern CA ,USA ,3 ,0.50 ,21 ,27 ,-6 ,
73T,"MATVEEV, Valentin",C17 ,BB-FC ,Nevada ,USA ,3 ,0.50 ,21 ,27 ,-6 ,
75,"DOSS, David",A17 ,FENCERS / GOLD GATE ,Metro NYC ,USA ,2 ,0.40 ,21 ,20 ,+1 ,
76,"KHAYAT, Ziad",A17 ,U.C.S.D. ,Central CA ,USA ,2 ,0.40 ,17 ,16 ,+1 ,
77T,"CHAO, Kevin",A16 / 77 ,LAIFC ,Southern CA ,USA ,2 ,0.40 ,18 ,18 ,0 ,
77T,"POULIQUEN, Nicolas",A16 / 116 ,,Minnesota ,CAN ,2 ,0.40 ,18 ,18 ,0 ,
79,"NAIR, Tarun",B16 ,ALLIANCE F.A. ,Gulf Coast ,USA ,2 ,0.40 ,16 ,17 ,-1 ,
80,"HSIEH JAROV, Seraphim",B17 ,,,CAN ,2 ,0.40 ,18 ,20 ,-2 ,
81,"RAYLE, Evan",A17 ,NWFC ,Oregon ,USA ,2 ,0.40 ,17 ,19 ,-2 ,
82,"MILLER, Finn",A17 / 47 ,MEDEO F.C. ,New Jersey ,USA ,2 ,0.40 ,16 ,19 ,-3 ,
83,"STUSNICK, Hunter",A17 ,BRANDEIS ,New Jersey ,USA ,2 ,0.33 ,24 ,26 ,-2 ,
84T,"PICARD, Christopher",A17 ,,New England ,USA ,2 ,0.33 ,23 ,26 ,-3 ,
84T,"KIM, Christopher",A15 ,SWORDS ,Southern CA ,USA ,2 ,0.33 ,23 ,26 ,-3 ,
86T,"ADOLPHE, Benjamin",A17 ,FSA ,Virginia ,USA ,2 ,0.33 ,21 ,24 ,-3 ,
86T,"BENNION, Michael",B16 ,SF ,Utah-S.Idaho ,USA ,2 ,0.33 ,21 ,24 ,-3 ,
88,"HANSEN, Jonas",A17 ,OLYMPIA F. C. ,New England ,USA ,2 ,0.33 ,18 ,21 ,-3 ,
89,"TOLKACHEV, Denis",B17 / 74 ,,Metro NYC ,RUS ,2 ,0.33 ,21 ,25 ,-4 ,
90,"HOUSE, Alex",A17 / 58 ,FENCERS ,New Jersey ,USA ,2 ,0.33 ,23 ,28 ,-5 ,
91,"ZACHARAKIS, Demetri",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,2 ,0.33 ,22 ,28 ,-6 ,
92,"HAN, Matthew",A16 ,OLYMPIC FC ,Georgia ,USA ,2 ,0.33 ,20 ,27 ,-7 ,
93,"ARIETA, Ryan",A15 / 63 ,WEST BERKELEY FENCING ,Northern CA ,USA ,2 ,0.33 ,19 ,26 ,-7 ,
94,"SHINHOLSTER, Michael",A17 ,EFCA ,Georgia ,USA ,2 ,0.33 ,19 ,27 ,-8 ,
95,"HONDOR, Robert",A17 / 65 ,OLYMPIA F. C. ,New England ,USA ,1 ,0.20 ,14 ,21 ,-7 ,
96,"ZHANG, William",A17 ,NYU ,Metro NYC ,USA ,1 ,0.20 ,13 ,21 ,-8 ,
97,"PARK, Thomas Junseo",A17 ,BB-FC ,Southern CA ,CAN ,1 ,0.20 ,15 ,24 ,-9 ,
98,"SODERBERG, Alex",A17 ,TEAMTOUCHE ,San Diego ,USA ,1 ,0.20 ,11 ,24 ,-13 ,
99,"PEGRAM, Tavish",A14 ,FENCERS ,Metro NYC ,USA ,1 ,0.17 ,18 ,24 ,-6 ,
100,"MUNLIN, Donovan",A15 ,,Georgia ,USA ,1 ,0.17 ,19 ,27 ,-8 ,
101,"LEVY, Zachari",C17 ,FRESNO ,Mt. Valley ,USA ,1 ,0.17 ,20 ,29 ,-9 ,
102,"CHENG, Zachary",A16 ,NOTREDAME ,Illinois ,USA ,1 ,0.17 ,17 ,26 ,-9 ,
103,"SMITH, Justin",A16 ,NO FEAR ,Mt. Valley ,USA ,1 ,0.17 ,18 ,28 ,-10 ,
