136T,"CHU, Derek",C17 ,BALTI. F.C. ,Capitol ,USA ,3 ,0.50 ,19 ,20 ,-1 ,Advanced
136T,"DUBE, Charles-Hugo",B15 ,,,CAN ,3 ,0.50 ,19 ,20 ,-1 ,Advanced
138,"LOPEZ, Carlos",C17 ,FSA ,Virginia ,MEX ,3 ,0.50 ,24 ,26 ,-2 ,Advanced
139,"LIAO, Jun Heng (James)",A17 ,FENCERS ,New Jersey ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
140,"LESNIKOV, Kirel",B15 ,BROKLN BRIDG. F.C. ,Metro NYC ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
141T,"SHEEN, Grant",B16 ,GOLUBITSKY ,Orange Coast ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
141T,"PRINCE, Nicholas",B17 ,BROKLN BRIDG. F.C. ,Metro NYC ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
141T,"SHEARDOWN, Christopher",B17 ,,,CAN ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
144T,"OURSLER, Jack",B17 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,19 ,21 ,-2 ,Advanced
144T,"SOHN, Christopher",B17 ,M TEAM ,Northern CA ,USA ,3 ,0.50 ,19 ,21 ,-2 ,Advanced
144T,"DING, Zachary",B16 ,GOLUBITSKY / CAL F.C. ,San Bern'do ,USA ,3 ,0.50 ,19 ,21 ,-2 ,Advanced
147T,"DEBACK, Maximus",B17 / 114 ,GRAFA ,Michigan ,USA ,3 ,0.50 ,20 ,23 ,-3 ,Advanced
147T,"MCGOFF, Jose",A17 ,,,PUR ,3 ,0.50 ,20 ,23 ,-3 ,Advanced
147T,"SWICEGOOD, Brian",A17 / 106 ,USAFA ,Gateway FL ,USA ,3 ,0.50 ,20 ,23 ,-3 ,Advanced
150,"POON, Simon",B17 ,,Western NY ,CAN ,3 ,0.50 ,19 ,22 ,-3 ,Advanced
151T,"POON, Alvin",B17 ,,Western NY ,CAN ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
151T,"JORAM, Jacob",B16 ,DFC / JHOPKINSU. ,Colorado ,USA ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
151T,"PITCHER, Skylar",C17 ,GRAFA ,Michigan ,LAT ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
154T,"MULLIGAN, James",A17 ,,Central CA ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
154T,"BAE, Anthony",A17 ,FENCERS ,New Jersey ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
154T,"LIN, Aaron",C16 ,TOUCHE ,Central CA ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
154T,"GUPTA, Eashan",C17 ,M TEAM / JHOPKINSU. ,Central CA ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
158,"TSAI, Yueh-Ting",A16 ,JJL FENCING ,Utah-S.Idaho ,TPE ,3 ,0.50 ,18 ,24 ,-6 ,Advanced
159,"KUNZ, Alexander",B17 ,FAW ,West-Rock ,MEX ,3 ,0.50 ,17 ,25 ,-8 ,Advanced
160,"YEE, Maxwell",A17 / 47 ,LAIFC ,Southern CA ,USA ,2 ,0.40 ,14 ,18 ,-4 ,Advanced
161,"LIU, Justin",B17 ,M TEAM ,Central CA ,USA ,2 ,0.40 ,14 ,20 ,-6 ,Advanced
162,"KUNZ, Bernard",A17 ,FAW ,West-Rock ,MEX ,2 ,0.40 ,15 ,22 ,-7 ,Advanced
163,"FLANAGAN, James",A17 ,FAW ,West-Rock ,USA ,2 ,0.33 ,22 ,22 ,0 ,Advanced
164,"HARTMARK, Anders",B17 ,HOMEWD F.C. ,Maryland ,USA ,2 ,0.33 ,24 ,26 ,-2 ,Advanced
165T,"PARRA, Fabian",C14 ,,,COL ,2 ,0.33 ,21 ,23 ,-2 ,Advanced
165T,"WU, Dawei",B17 ,,Metro NYC ,USA ,2 ,0.33 ,21 ,23 ,-2 ,Advanced
167,"CAPLIN, Aubrey",B16 ,UNAT / DUKEUNIVFC ,Virginia ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
168T,"JONES, Michael",C16 ,BROKLN BRIDG. F.C. ,Philadelphia ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
168T,"URODOVSKIKH, Evan",B17 ,SILICONVALLEYFCTR ,Central CA ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
170,"GRASS, Andrew",A17 ,UNAT / PSU ,Central PA ,USA ,2 ,0.33 ,18 ,21 ,-3 ,Advanced
171,"GASSNER, Ethan",B17 ,SANFRANFC ,Northern CA ,USA ,2 ,0.33 ,21 ,25 ,-4 ,Advanced
172T,"DING, Allan",A17 / 56 ,MARX FENCING ,New England ,USA ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
172T,"SAMORA, Jose",A17 / 63 ,BROKLN BRIDG. F.C. ,Metro NYC ,DOM ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
172T,"JOHNSON, Aidan",A17 / 95 ,FENCERS ,Metro NYC ,USA ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
175,"CHESTNA, Samuel",B17 ,OLYMPIA F. C. / BRANDEIS ,New England ,USA ,2 ,0.33 ,17 ,21 ,-4 ,Advanced
176,"SHING, Loktao",A17 ,FIT ,North TX ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
177,"HODGES, Carter",A17 ,MANHATTAN ,Metro NYC ,USA ,2 ,0.33 ,20 ,25 ,-5 ,Advanced
178,"MURRAY, Thomas",B14 ,BROKLN BRIDG. F.C. / NOTREDAME ,Metro NYC ,USA ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
179,"ROSSELLO, Gustavo",B17 ,NAPLES FA ,Central FL ,USA ,2 ,0.33 ,17 ,22 ,-5 ,Advanced
180,"MAURER, Ned",C17 ,RCHMOND / MOE FC ,Virginia ,USA ,2 ,0.33 ,16 ,21 ,-5 ,Advanced
181T,"BRODEUR, Marc-Antoine",A17 ,,,CAN ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
181T,"DONG, Darren",B17 ,,,CAN ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
183,"LIU, Jonathan",C17 ,BOSTN FNCNG. CLB. ,New England ,USA ,2 ,0.33 ,20 ,27 ,-7 ,Advanced
184,"DUELL, Jacob",B17 ,DOMIN. F.C. / RCHMOND ,Virginia ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
185,"HERGAN, Daniel",B17 ,CULVER / FCC ,Indiana ,USA ,2 ,0.33 ,19 ,27 ,-8 ,Advanced
186,"MCGILLION-MOORE, Jake",B17 ,FAIRFIELD FENCING ,Connecticut ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
187T,"PARACKA, Eric",A16 ,EFCA ,Georgia ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
187T,"ADLER, Ian",B17 ,FAP ,Philadelphia ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
187T,"SHAFAIE, Kaveh",A16 ,FREEHOLD ,New Jersey ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
190,"HU, Oliver",B17 ,MARX FENCING ,New England ,USA ,2 ,0.33 ,16 ,24 ,-8 ,Advanced
191,"JANSEN, Jesse",C16 ,GRAFA ,Michigan ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
192T,"LIMA, Kevin",C17 ,RTF ,N. Carolina ,USA ,2 ,0.33 ,15 ,24 ,-9 ,Advanced
192T,"PARK, Noah",B16 ,GUTKOVSKIY ,New Jersey ,USA ,2 ,0.33 ,15 ,24 ,-9 ,Advanced
