68T,"Wang, Brian",A17 / 57 ,MARXFENCING ,New England ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
68T,"Griffith, Jordan",A16 / 47 ,USAFA ,Colorado ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
70,"Cheng, Alex",B18 ,HALBERSTADT ,Northern CA ,USA ,3 ,0.50 ,25 ,26 ,-1 ,Advanced
71,"Padua, Carlos",A17 ,,,PUR ,3 ,0.50 ,24 ,27 ,-3 ,Advanced
72,"Huang, Bin",A18 / 110 ,MARXFENCING ,New England ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
73,"Chen, Earnest",A18 / 16 ,FENCERSCLUB ,Connecticut ,USA ,3 ,0.50 ,20 ,23 ,-3 ,Advanced
74,"Chang, Jason",A16 / 63 ,LECLUBTOUCHE / UNIVPA ,Central CA ,USA ,3 ,0.50 ,17 ,20 ,-3 ,Advanced
75T,"Liao, Jun Heng (James)",A17 ,FENCERSCLUB ,New Jersey ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
75T,"Parkins, Benjamin",A14 / 100 ,AUSTINFC ,South TX ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
77,"Levy, Jasper",A18 / 28 ,BBFC ,Long Island ,USA ,2 ,0.40 ,19 ,19 ,0 ,Advanced
78,"Hu, Oliver",B17 / 79 ,MARXFENCING ,New England ,USA ,2 ,0.40 ,19 ,20 ,-1 ,Advanced
79,"Vogler, Justin",A18 ,NWFENCINGCTR ,Oregon ,USA ,2 ,0.40 ,14 ,22 ,-8 ,Advanced
80,"Prilutsky, David",B18 / 97 ,PREMIERFC / MANHATTANFC ,New Jersey ,USA ,2 ,0.33 ,25 ,23 ,+2 ,Advanced
81,"Shih, Benjamin",A18 / 61 ,LECLUBTOUCHE ,Central CA ,TPE ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
82,"Iverson, Shane",A16 / 55 ,VFENCING / PASTATEUNIV ,New Jersey ,USA ,2 ,0.33 ,21 ,23 ,-2 ,Advanced
83,"Law, Robert",B17 ,M TEAM ,National ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
84T,"Gruber, Samuel",A18 / 75 ,MOEFENCING ,New England ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
84T,"Li, Michael",A17 / 24 ,,Central CA ,USA ,2 ,0.33 ,20 ,23 ,-3 ,Advanced
86,"Dayton, Draper",B17 / 103 ,M TEAM ,Northern CA ,USA ,2 ,0.33 ,21 ,25 ,-4 ,Advanced
87,"Bae, Anthony",A17 ,FENCERSCLUB ,New Jersey ,USA ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
88,"Wu, Jerry",A17 / 42 ,LECLUBTOUCHE ,Central CA ,USA ,2 ,0.33 ,23 ,28 ,-5 ,Advanced
89,"Ding, Allan",A18 / 56 ,MARXFENCING ,New England ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
90,"Condiff, Noah",A16 / 102 ,ZFA ,Philadelphia ,USA ,2 ,0.33 ,20 ,25 ,-5 ,Advanced
91T,"Gaziano, William",A16 / 96 ,MEDEOFC / OSUNCAA ,New Jersey ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
91T,"McKenna, Joseph",A17 / 112 ,DURKANFA ,Philadelphia ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
91T,"Daniel, Ashton",A17 / 35 ,SILICONVLYFC ,Central CA ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
94T,"Marino, Joseph",A17 / 38 ,BBFC / NOTREDAME ,Long Island ,USA ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
94T,"McGillion-Moore, Jake",B18 / 111 ,FCFA/FFA ,Connecticut ,IRL ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
96,"Woods, Jack",A17 ,VFENCING ,New Jersey ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
97T,"Hodges, Carter",A18 ,MANHATTANFC ,Metro NYC ,USA ,2 ,0.33 ,17 ,24 ,-7 ,Advanced
97T,"Hamilton, Bogdan",B18 ,FENCERSACDMY ,St. Louis ,USA ,2 ,0.33 ,17 ,24 ,-7 ,Advanced
